Date,Amount,Description,Category,Currency
17/11/2025,15,Transfer To P KULKARNI PayID Phone from CommBank App reshma order thalipeeth,Eating out,INR
17/11/2025,24.42,Guzman Gomes,Eating out,INR
15/11/2025,1.18,International Transaction Fee Value Date: 12/11/2025,Fees,INR
15/11/2025,33.78,OPENAI *CHATGPT SUBSCR SAN FRANCISCO CA USA Card xx1781 USD 22.00 Value Date: 13/11/2025,Entertainment,INR
14/11/2025,39.9,Direct Debit 488299 GoCardless BOXFITNESS-XZCSVK4,Sandeep Fitness,INR
13/11/2025,30.0,PAYPAL *VODAFONEAUS 4029357733 AU AUS Card xx4736 Value Date: 10/11/2025,Mobile Bill,INR
10/11/2025,10.0,Transfer To P KULKARNI PayID Phone from CommBank App reshma order bhakri,Personal Transfer,INR
07/11/2025,62.4,Direct Debit 496485 Cumberland Counc A00KL7TQ0030,Bills,INR
07/11/2025,39.9,Direct Debit 488299 GoCardless BOXFITNESS-XZCSVK4,Sandeep Fitness,INR
07/11/2025,10.0,Transfer To P KULKARNI PayID Phone from CommBank App reshma order thalipeeth,Eating out,INR
06/11/2025,69.99,PAYPAL *VODAFONEAUS 4029357733 AU AUS Card xx4736 Value Date: 04/11/2025,Internet,INR
04/11/2025,13.53,AMAZON WEB SERVICES SYDNEY NS AUS Card xx4736 Value Date: 02/11/2025,Shopping,INR
01/11/2025,33.0,Transfer To PRADEEP NAICK PayID Phone from CommBank App Sandeep payment,Groceries,INR
